insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
89a11aea,Global,Global,Feature,tone,Tone,Attention_T2B,Attention,positive,small,0.187,2.94,1568,3123,58.48,***,0.0,multiple_testing_risk,high,Tone is associated with 2.9pp higher Attention (n=1568 with feature; ***).
5e6fdead,Global,Global,Feature,tone,Tone,Persuasion_T2B,Persuasion,positive,small,0.109,1.86,1568,3123,54.39,***,0.00044,multiple_testing_risk,high,Tone is associated with 1.9pp higher Persuasion (n=1568 with feature; ***).
ba5450f4,Global,Global,Feature,tone,Tone,Likeability_Love_Like_T2B,Likeability,positive,small,0.191,3.3,1568,3123,55.23,***,0.0,multiple_testing_risk,high,Tone is associated with 3.3pp higher Likeability (n=1568 with feature; ***).
729bba34,Global,Global,Feature,tone,Tone,Experience_Recall_T2B,Recall,positive,small,0.136,2.44,1572,3125,36.24,***,2e-05,multiple_testing_risk,high,Tone is associated with 2.4pp higher Recall (n=1572 with feature; ***).
bd845846,Global,Global,Feature,tone,Tone,Brand_Linkage_T2B,Brand Linkage,positive,small,0.108,1.55,1568,3123,53.53,***,0.00048,multiple_testing_risk,high,Tone is associated with 1.6pp higher Brand Linkage (n=1568 with feature; ***).
63940e65,Global,Global,Feature,tone,Tone,Uniqueness_T2B,Uniqueness,positive,medium,0.228,3.59,1568,3123,56.17,***,0.0,multiple_testing_risk,high,Tone is associated with 3.6pp higher Uniqueness (n=1568 with feature; ***).
3066ea6f,Global,Global,Feature,tone,Tone,Shareability_T2B,Shareability,positive,small,0.155,2.71,1567,3117,43.11,***,0.0,multiple_testing_risk,high,Tone is associated with 2.7pp higher Shareability (n=1567 with feature; ***).
e29db314,Global,Global,Feature,tone,Tone,SCD_score,SCD Score,positive,small,0.015,0.38,1458,2950,49.79,ns,0.65057,multiple_testing_risk,low,Tone is associated with 0.4pp higher SCD Score (n=1458 with feature; ns).
196078eb,Global,Global,Feature,products,Products,Attention_T2B,Attention,positive,small,0.026,0.42,1691,3000,59.31,ns,0.06891,multiple_testing_risk,low,Products is associated with 0.4pp higher Attention (n=1691 with feature; ns).
acfc6434,Global,Global,Feature,products,Products,Persuasion_T2B,Persuasion,positive,small,0.113,1.95,1691,3000,54.31,***,6e-05,multiple_testing_risk,high,Products is associated with 2.0pp higher Persuasion (n=1691 with feature; ***).
5bf9fd0c,Global,Global,Feature,products,Products,Likeability_Love_Like_T2B,Likeability,positive,small,0.092,1.63,1691,3000,55.75,**,0.00104,multiple_testing_risk,high,Products is associated with 1.6pp higher Likeability (n=1691 with feature; **).
f719ef53,Global,Global,Feature,products,Products,Experience_Recall_T2B,Recall,positive,small,0.166,2.99,1695,3002,35.98,***,0.0,multiple_testing_risk,high,Products is associated with 3.0pp higher Recall (n=1695 with feature; ***).
370f1672,Global,Global,Feature,products,Products,Brand_Linkage_T2B,Brand Linkage,positive,small,0.061,0.89,1691,3000,53.73,*,0.01676,multiple_testing_risk,medium,Products is associated with 0.9pp higher Brand Linkage (n=1691 with feature; *).
817ec345,Global,Global,Feature,products,Products,Uniqueness_T2B,Uniqueness,positive,small,0.044,0.71,1691,3000,57.12,*,0.04849,multiple_testing_risk,medium,Products is associated with 0.7pp higher Uniqueness (n=1691 with feature; *).
97156089,Global,Global,Feature,products,Products,Shareability_T2B,Shareability,positive,small,0.051,0.91,1688,2996,43.69,ns,0.06465,multiple_testing_risk,low,Products is associated with 0.9pp higher Shareability (n=1688 with feature; ns).
a8be6928,Global,Global,Feature,products,Products,SCD_score,SCD Score,positive,small,0.127,3.19,1616,2792,48.75,***,5e-05,multiple_testing_risk,high,Products is associated with 3.2pp higher SCD Score (n=1616 with feature; ***).
98aa069e,Global,Global,Feature,occasions,Occasions,Attention_T2B,Attention,positive,small,0.145,2.23,775,3916,59.09,***,0.00078,multiple_testing_risk,high,Occasions is associated with 2.2pp higher Attention (n=775 with feature; ***).
532f655c,Global,Global,Feature,occasions,Occasions,Persuasion_T2B,Persuasion,negative,small,-0.003,-0.05,775,3916,55.02,ns,0.8368,multiple_testing_risk,low,Occasions is associated with 0.1pp lower Persuasion (n=775 with feature; ns).
f796b5b4,Global,Global,Feature,occasions,Occasions,Likeability_Love_Like_T2B,Likeability,positive,medium,0.206,3.47,775,3916,55.76,***,0.0,multiple_testing_risk,high,Occasions is associated with 3.5pp higher Likeability (n=775 with feature; ***).
07eabfbc,Global,Global,Feature,occasions,Occasions,Experience_Recall_T2B,Recall,positive,medium,0.21,3.63,776,3921,36.46,***,0.0,multiple_testing_risk,high,Occasions is associated with 3.6pp higher Recall (n=776 with feature; ***).
4b934905,Global,Global,Feature,occasions,Occasions,Brand_Linkage_T2B,Brand Linkage,positive,medium,0.255,3.56,775,3916,53.46,***,0.0,multiple_testing_risk,high,Occasions is associated with 3.6pp higher Brand Linkage (n=775 with feature; ***).
f7cd11d1,Global,Global,Feature,occasions,Occasions,Uniqueness_T2B,Uniqueness,positive,medium,0.201,3.08,775,3916,56.87,***,0.0,multiple_testing_risk,high,Occasions is associated with 3.1pp higher Uniqueness (n=775 with feature; ***).
64213eb1,Global,Global,Feature,occasions,Occasions,Shareability_T2B,Shareability,positive,small,0.077,1.31,774,3910,43.8,*,0.02935,multiple_testing_risk,medium,Occasions is associated with 1.3pp higher Shareability (n=774 with feature; *).
6f2dbc64,Global,Global,Feature,occasions,Occasions,SCD_score,SCD Score,positive,medium,0.437,10.84,746,3662,48.08,***,0.0,multiple_testing_risk,high,Occasions is associated with 10.8pp higher SCD Score (n=746 with feature; ***).
5ab2f2c5,Global,Global,Feature,passion_point,Passion Point,Attention_T2B,Attention,positive,small,0.189,3.02,1364,3327,58.58,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.0pp higher Attention (n=1364 with feature; ***).
eb55c20f,Global,Global,Feature,passion_point,Passion Point,Persuasion_T2B,Persuasion,positive,small,0.158,2.72,1364,3327,54.22,***,0.0,multiple_testing_risk,high,Passion Point is associated with 2.7pp higher Persuasion (n=1364 with feature; ***).
53cf38e7,Global,Global,Feature,passion_point,Passion Point,Likeability_Love_Like_T2B,Likeability,positive,small,0.193,3.4,1364,3327,55.35,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.4pp higher Likeability (n=1364 with feature; ***).
4761ba1b,Global,Global,Feature,passion_point,Passion Point,Experience_Recall_T2B,Recall,positive,small,0.178,3.2,1368,3329,36.13,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.2pp higher Recall (n=1368 with feature; ***).
493d3106,Global,Global,Feature,passion_point,Passion Point,Brand_Linkage_T2B,Brand Linkage,positive,small,0.16,2.31,1364,3327,53.38,***,0.0,multiple_testing_risk,high,Passion Point is associated with 2.3pp higher Brand Linkage (n=1364 with feature; ***).
2d575d61,Global,Global,Feature,passion_point,Passion Point,Uniqueness_T2B,Uniqueness,positive,medium,0.22,3.53,1364,3327,56.35,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.5pp higher Uniqueness (n=1364 with feature; ***).
e6c4d339,Global,Global,Feature,passion_point,Passion Point,Shareability_T2B,Shareability,positive,small,0.178,3.17,1359,3325,43.09,***,0.0,multiple_testing_risk,high,Passion Point is associated with 3.2pp higher Shareability (n=1359 with feature; ***).
25d65f41,Global,Global,Feature,passion_point,Passion Point,SCD_score,SCD Score,positive,small,0.091,2.27,1309,3099,49.24,**,0.00826,multiple_testing_risk,high,Passion Point is associated with 2.3pp higher SCD Score (n=1309 with feature; **).
5aa32b9a,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Attention_T2B,Attention,positive,small,0.134,2.11,1188,3503,58.93,***,5e-05,multiple_testing_risk,high,Intrinsic Elements is associated with 2.1pp higher Attention (n=1188 with feature; ***).
803e859e,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Persuasion_T2B,Persuasion,positive,small,0.187,3.16,1188,3503,54.21,***,0.0,multiple_testing_risk,high,Intrinsic Elements is associated with 3.2pp higher Persuasion (n=1188 with feature; ***).
c292e59f,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Likeability_Love_Like_T2B,Likeability,positive,small,0.181,3.13,1188,3503,55.54,***,0.0,multiple_testing_risk,high,Intrinsic Elements is associated with 3.1pp higher Likeability (n=1188 with feature; ***).
239e4142,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Experience_Recall_T2B,Recall,positive,medium,0.204,3.62,1190,3507,36.14,***,0.0,multiple_testing_risk,high,Intrinsic Elements is associated with 3.6pp higher Recall (n=1190 with feature; ***).
60ab6f38,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Brand_Linkage_T2B,Brand Linkage,positive,small,0.051,0.73,1188,3503,53.87,ns,0.13093,multiple_testing_risk,low,Intrinsic Elements is associated with 0.7pp higher Brand Linkage (n=1188 with feature; ns).
a96946f3,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Uniqueness_T2B,Uniqueness,positive,small,0.066,1.05,1188,3503,57.11,*,0.03046,multiple_testing_risk,medium,Intrinsic Elements is associated with 1.0pp higher Uniqueness (n=1188 with feature; *).
8bbe4df5,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,Shareability_T2B,Shareability,positive,small,0.069,1.22,1186,3498,43.71,*,0.02584,multiple_testing_risk,medium,Intrinsic Elements is associated with 1.2pp higher Shareability (n=1186 with feature; *).
c2244703,Global,Global,Feature,intrinsic_elements,Intrinsic Elements,SCD_score,SCD Score,positive,small,0.093,2.32,1132,3276,49.32,**,0.00784,multiple_testing_risk,high,Intrinsic Elements is associated with 2.3pp higher SCD Score (n=1132 with feature; **).
e796e3e3,Global,Global,Feature,food,Food,Attention_T2B,Attention,positive,small,0.113,1.82,997,3694,59.07,***,6e-05,multiple_testing_risk,high,Food is associated with 1.8pp higher Attention (n=997 with feature; ***).
29c2b72c,Global,Global,Feature,food,Food,Persuasion_T2B,Persuasion,positive,small,0.172,2.96,997,3694,54.38,***,0.0,multiple_testing_risk,high,Food is associated with 3.0pp higher Persuasion (n=997 with feature; ***).
b39a427c,Global,Global,Feature,food,Food,Likeability_Love_Like_T2B,Likeability,positive,small,0.167,2.97,997,3694,55.71,***,0.0,multiple_testing_risk,high,Food is associated with 3.0pp higher Likeability (n=997 with feature; ***).
44004475,Global,Global,Feature,food,Food,Experience_Recall_T2B,Recall,positive,small,0.153,2.7,1001,3696,36.48,***,0.0,multiple_testing_risk,high,Food is associated with 2.7pp higher Recall (n=1001 with feature; ***).
526cc1ff,Global,Global,Feature,food,Food,Brand_Linkage_T2B,Brand Linkage,positive,small,0.079,1.15,997,3694,53.81,**,0.00872,multiple_testing_risk,high,Food is associated with 1.1pp higher Brand Linkage (n=997 with feature; **).
fba5c1c4,Global,Global,Feature,food,Food,Uniqueness_T2B,Uniqueness,positive,small,0.098,1.59,997,3694,57.04,***,0.00069,multiple_testing_risk,high,Food is associated with 1.6pp higher Uniqueness (n=997 with feature; ***).
3a8b3069,Global,Global,Feature,food,Food,Shareability_T2B,Shareability,positive,small,0.092,1.66,993,3691,43.66,**,0.00453,multiple_testing_risk,high,Food is associated with 1.7pp higher Shareability (n=993 with feature; **).
