feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
tone,Shareability_T2B,2.714101471519481,1567,3117,***,3.3997145670900245e-07,0.15482661856623825,43.106458132820016,45.8205596043395,multiple_testing_risk,Global,Global
tone,SCD_score,0.3772179953965282,1458,2950,ns,0.6505682762305751,0.014965411229216526,49.79346101694916,50.17067901234569,multiple_testing_risk,Global,Global
products,Attention_T2B,0.41873726227085184,1691,3000,ns,0.06890552121596993,0.026025288629278193,59.3105845,59.72932176227085,multiple_testing_risk,Global,Global
products,Persuasion_T2B,1.953477883579735,1691,3000,***,6.047559892621457e-05,0.11342446313275659,54.30556753333333,56.25904541691307,multiple_testing_risk,Global,Global
products,Likeability_Love_Like_T2B,1.625816094401733,1691,3000,**,0.0010366928147760267,0.09249620917639537,55.75090803333333,57.376724127735066,multiple_testing_risk,Global,Global
products,Experience_Recall_T2B,2.987535377457312,1695,3002,***,3.349529551359805e-07,0.16642083618862644,35.977924150566295,38.96545952802361,multiple_testing_risk,Global,Global
products,Brand_Linkage_T2B,0.8851333375320514,1691,3000,*,0.016756808714667146,0.0612354504469568,53.73084856666666,54.615981904198705,multiple_testing_risk,Global,Global
products,Uniqueness_T2B,0.7103557598068133,1691,3000,*,0.048489092173221574,0.04394447997797734,57.11771183333334,57.828067593140155,multiple_testing_risk,Global,Global
products,Shareability_T2B,0.9059448159947858,1688,2996,ns,0.06465166698925164,0.05084193628227081,43.68796158210948,44.59390639810427,multiple_testing_risk,Global,Global
products,SCD_score,3.1855146954523574,1616,2792,***,5.427078923652098e-05,0.1267575501357654,48.7504011461318,51.935915841584155,multiple_testing_risk,Global,Global
occasions,Attention_T2B,2.225014695443006,775,3916,***,0.0007836006489173939,0.14473713302244762,59.093935240040864,61.31894993548387,multiple_testing_risk,Global,Global
occasions,Persuasion_T2B,-0.05430006326403447,775,3916,ns,0.8367961669545175,-0.003268973102968835,55.01872328907049,54.964423225806456,multiple_testing_risk,Global,Global
occasions,Likeability_Love_Like_T2B,3.473405217041736,775,3916,***,7.016971231838101e-07,0.20633835610632467,55.763136976506644,59.23654219354838,multiple_testing_risk,Global,Global
occasions,Experience_Recall_T2B,3.634577069513345,776,3921,***,2.0854072744695347e-10,0.21009254819677853,36.455556822239224,40.09013389175257,multiple_testing_risk,Global,Global
occasions,Brand_Linkage_T2B,3.5571552025107867,775,3916,***,2.5498791639934002e-12,0.2547846866705206,53.46224170071502,57.019396903225804,multiple_testing_risk,Global,Global
occasions,Uniqueness_T2B,3.0790487924478693,775,3916,***,7.253561125529254e-07,0.20099004086704342,56.865089530132785,59.944138322580656,multiple_testing_risk,Global,Global
occasions,Shareability_T2B,1.313097921251416,774,3910,*,0.029350544921499706,0.07675667021301584,43.797461381074164,45.11055930232558,multiple_testing_risk,Global,Global
occasions,SCD_score,10.83850715192478,746,3662,***,4.021778162518166e-26,0.4369876064464482,48.08394593118515,58.92245308310993,multiple_testing_risk,Global,Global
passion_point,Attention_T2B,3.018194204663349,1364,3327,***,2.919922422342764e-11,0.18897403216166112,58.583930868650434,61.602125073313786,multiple_testing_risk,Global,Global
passion_point,Persuasion_T2B,2.722296779614397,1364,3327,***,3.9168012546747436e-07,0.1575077330183258,54.21819134355276,56.94048812316716,multiple_testing_risk,Global,Global
passion_point,Likeability_Love_Like_T2B,3.403133978393258,1364,3327,***,6.063238672100381e-10,0.19349895565026465,55.34745040577096,58.75058438416422,multiple_testing_risk,Global,Global
passion_point,Experience_Recall_T2B,3.196363223506349,1368,3329,***,7.93984997795725e-08,0.1776599945624842,36.12509203965155,39.321455263157894,multiple_testing_risk,Global,Global
